Id,Name,Sport,SportId,StateName,StateId,CityName,CityId,Rating,SportRadarId,ImageUrl
85,Florida Panthers,NHL,3,FL,9,Sunrise,55,1500,4418464d-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/panthers.svg
86,Columbus Blue Jackets,NHL,3,OH,35,Columbus,14,1500,44167db4-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/bluejackets.svg
87,New Jersey Devils,NHL,3,NJ,30,Newark,35,1500,44174b0c-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/devils.svg
88,New York Islanders,NHL,3,NY,32,New York,34,1500,441766b9-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/islanders.svg
89,New York Rangers,NHL,3,NY,32,New York,34,1500,441781b9-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/rangers.svg
90,Philadelphia Flyers,NHL,3,PA,38,Philadelphia,40,1500,44179d47-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/flyers.svg
91,Pittsburgh Penguins,NHL,3,PA,38,Pittsburgh,43,1500,4417b7d7-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/penguins.svg
92,Washington Capitals,NHL,3,DC,51,Washington,59,1500,4417eede-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/capitals.svg
93,Carolina Hurricanes,NHL,3,NC,33,Raleigh,45,1500,44182a9d-0f24-11e2-8525-18a905767e44,https://sportrankerstorage.blob.core.windows.net/nhl-team-logos/hurricanes.svg
94,Toronto Blue Jays,MLB,4,ON,52,Toronto,57,1500,1d678440-b4b1-4954-9b39-70afb3ebbcfa,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/bluejays.svg
95,Tampa Bay Rays,MLB,4,FL,9,Tampa,56,1500,bdc11650-6f74-49c4-875e-778aeb7632d9,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/rays.svg
96,Baltimore Orioles,MLB,4,MD,20,Baltimore,3,1500,75729d34-bca7-4a0f-b3df-6f26c6ad3719,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/orioles.svg
97,Boston Red Sox,MLB,4,MA,21,Boston,4,1500,93941372-eb4c-4c40-aced-fe3267174393,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/redsox.svg
98,New York Yankees,MLB,4,NY,32,Bronx,5,1500,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/yankees.svg
